Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Cyprus;49.83219802;48.32824767;48.79761338;51.4000833;49.9238044;40.94297886;42.79902577;44.02578771;43.09228957;44.73412633;44.32916045;45.2442795;44.63203549
Czechia;11.09285206;11.64602414;13.63102496;16.13297015;15.05053937;15.25087506;15.02145827;15.29148817;13.58585358;14.08199221;14.82839435;15.02381265;14.80910182
Germany;14.08945024;14.49688375;14.43142295;14.1092062;13.91829103;14.04069811;14.05884922;14.11986351;13.27638924;12.86283284;12.98534572;12.88281828;12.67291903
Djibouti;41.67883098;37.76251674;35.84453464;31.61332011;30.1686883;29.03930843;24.2288053;22.94796556;24.05808419;22.65952677;20.38418949;23.39403033;26.5042156
Dominica;38.07228506;36.53484285;38.36634457;40.95465839;37.53803074;35.92567742;36.78412735;35.26906371;34.98404026;33.93606842;30.75389862;29.06554043;30.95495701
Denmark;14.70920742;14.52642977;14.56182599;14.11779821;13.68460506;14.38572407;14.55079019;14.15904015;13.81007284;13.77456188;13.67477924;13.71238232;13.73846531
Dominican Republic;53.87655497;54.74832654;47.68967927;43.60145628;42.82118976;43.9168036;42.44413078;42.8616792;42.18322337;42.48417616;42.85131097;44.61641312;44.73819733
Algeria;28.09361219;29.12136018;28.08858156;26.14695728;27.44950652;28.8824439;27.87346542;25.71590841;27.56197751;26.65845454;28.20820212;30.88213503;32.54883885
East Asia & Pacific (excluding high income);54.48801344;52.34735924;48.39958496;45.61029271;42.61703125;41.17588773;40.80181863;39.71715851;38.58084074;36.81145455;35.55165014;36.14893964;36.10168579
Early-demographic dividend;44.92618488;43.24649143;42.80748013;41.45424729;39.96874001;40.15038365;38.52530623;37.33746115;37.81136062;36.30555233;36.21057285;37.18827172;38.21623166
East Asia & Pacific;25.63750605;26.70416308;26.12945429;25.96773802;25.07596306;24.67734841;23.72053514;24.13188979;25.31904205;25.43536235;25.72220582;25.48050596;25.96224002
Europe & Central Asia (excluding high income);32.32817725;31.79043816;31.76110711;30.84091736;31.2419622;32.68299138;32.82414235;32.55740053;33.95604385;34.85945743;36.30625013;36.69349132;37.52425842
Europe & Central Asia;16.42110924;16.77464156;16.86486383;16.94388523;16.54411381;16.9520846;17.256683;17.40494818;18.00540851;17.85738001;17.90121848;17.89209541;18.01821547
Ecuador;63.01199794;61.1255765;53.68430614;52.13829875;50.85088015;47.52025604;45.43479681;43.63069236;42.36783087;41.98366404;43.86994243;40.38443565;39.39850628
Egypt, Arab Rep.;64.58325982;60.41719913;60.32749414;61.82380319;60.43681502;62.6281023;60.49510241;62.98623085;61.2108171;59.03896689;59.45430398;59.00741816;60.08251309
Euro area;15.38683723;15.78942265;15.75888805;15.82223874;15.37045439;15.49981175;15.79042205;15.82881744;15.73228881;15.61808907;15.71067301;15.61485187;15.50495462
Eritrea;35.23891568;34.45084393;44.09306049;45.10209262;43.74355376;52.83788443;38.47586513;53.97942066;54.90223765;55.20907044;58.45347047;58.33833814;59.12152529
Spain;21.95907682;21.27019912;21.03814483;21.01576924;19.5030123;20.75950205;21.11074477;22.84075618;23.98318201;24.36438203;23.78713787;23.93914312;23.56579006
Estonia;22.63690233;23.16620201;22.65051454;20.72413415;20.33495456;21.91824913;21.55589908;21.51741236;22.60502726;22.62244374;22.78413773;22.72888422;23.66462499
Ethiopia;31.34029806;38.77533078;36.99623644;38.47733438;41.53925776;42.29021072;46.53789103;42.16745496;42.40406752;38.47412467;35.60949564;33.69998932;34.40898955
European Union;15.73995995;16.10504449;16.10217128;16.17269722;15.71622884;15.86635464;16.09716722;16.15075469;16.01680051;15.9131186;16.01555629;15.92537653;15.81845019
Fragile and conflict affected situations;49.69209052;46.35444125;47.18351044;49.92921497;48.16476305;48.91101376;48.1356662;48.848154;51.52173232;51.03589571;53.35879582;59.28722594;60.88404431
Finland;20.66593766;19.72095817;19.82014626;19.5440501;19.38837022;19.96495873;19.33733374;18.69531572;19.33733374;18.92360151;19.77814883;20.49999535;20.22742331
Fiji;12.0877482;14.34637159;15.58711231;16.50561243;24.58940148;22.37072289;25.31678677;24.78924692;22.54663706;19.89637315;21.02604508;20.63828558;15.59424847
France;7.36894682;9.343630075;9.506957978;9.99231413;10.14965624;10.22069007;10.22155136;10.10120213;9.928711504;9.845147282;9.70665291;9.551420808;9.384219348
Faroe Islands;;;;;;;;;;;;;
Micronesia, Fed. Sts.;3.202762455;5.030861124;4.466363043;4.099269211;3.749737516;3.233531862;3.025219403;2.884986997;2.71205008;2.694590762;2.570229769;2.559812739;2.403530665
Gabon;52.13556886;51.14926696;50.37234426;51.96375847;50.63160658;25.50564706;27.73152888;28.00476253;28.59301865;28.12981009;25.90465844;22.55089283;25.15639067
United Kingdom;9.898933023;10.18192694;10.40985957;9.436758608;9.372603148;9.79340598;9.883193672;9.715238214;15.03525972;14.97426927;15.12357891;15.49326032;15.95682204
Georgia;79.58549261;77.26432681;75.67359805;66.54589176;68.90898943;72.72727489;75.61214566;73.43678474;69.07719374;65.9756124;57.32433796;55.51872253;54.76190448
Ghana;40.13938308;40.80955684;40.69285393;40.64579606;33.99345577;33.20059478;35.56454778;39.59586322;38.87570798;45.05063891;35.80306172;37.82372773;40.29169679
Gibraltar;;;;;;;;;;;;;
Guinea;60.74538827;64.3504858;68.0336535;67.26185679;66.93318486;65.18716812;59.98564363;62.39929199;61.90598607;58.35925341;49.35240448;49.76181388;56.6835463
Gambia, The;20.77399939;20.86979598;20.90530396;20.93074769;21.13390565;20.98102421;21.10793889;21.03336006;20.25053054;24.66681749;23.47213477;23.57846349;22.03140855
Guinea-Bissau;34.26280022;38.59666288;36.20378971;39.72662389;40.13110101;42.70081818;38.36071193;63.53726387;68.92351508;62.329638;69.64196563;70.6381917;72.06120491
Equatorial Guinea;77.72718668;71.8734026;70.78121901;76.71900988;57.74852037;66.19266272;64.34092522;48.65623713;71.66537642;74.48106408;77.14675069;74.4638145;76.79201365
