Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Dominican Republic;-0.5511778;-0.585124493;-0.674710691;-0.619609892;-0.612606525;-0.643543899;-0.590701282;-0.510242641;-0.46754539;-0.435269862;-0.357312292;-0.263711333;-0.370033503;-0.400257349
Algeria;-0.467567503;-0.472641259;-0.565725446;-0.626526654;-0.582936943;-0.4795416;-0.564615488;-0.532319129;-0.534194887;-0.477552891;-0.500881374;-0.531159699;-0.58915931;-0.443924606
Ecuador;-0.946908653;-0.996869028;-0.869371355;-0.864921331;-0.794284344;-0.716598332;-0.581419289;-0.504882157;-0.501632035;-0.472943544;-0.442329586;-0.430312991;-0.321843743;-0.26139763
Egypt, Arab Rep.;-0.415194184;-0.506440222;-0.389128655;-0.365895152;-0.279506087;-0.370581895;-0.568378389;-0.808497548;-0.877399504;-0.822677433;-0.769484341;-0.659545839;-0.619674802;-0.584804058
Eritrea;-0.935537457;-1.300267696;-1.29011476;-1.299435496;-1.365196586;-1.357186317;-1.411576629;-1.447657943;-1.519717574;-1.607063174;-1.593260527;-1.696103811;-1.7209692;-1.727731705
Spain;1.506729841;0.83720243;0.993321776;0.920346916;0.945832193;0.994798839;1.02723515;1.120682478;1.154522538;1.1597054;1.174035192;1.115842104;1.033853531;1.002135754
Estonia;0.964996755;1.157150984;1.03731823;1.161840796;1.009114146;1.085700631;1.076736927;0.954537988;0.974775255;1.016679525;1.067977548;1.090856671;1.109356642;1.191937923
Ethiopia;-0.917130411;-0.660014093;-0.438456893;-0.396732926;-0.496887237;-0.432230085;-0.484161735;-0.425269544;-0.606997073;-0.42448172;-0.646708429;-0.638356149;-0.697957039;-0.607469678
Finland;2.129371881;2.17011404;1.974781752;2.050841331;2.229058743;2.2293396;2.241137981;2.220477581;2.174288273;1.998275638;1.81301105;1.828907728;1.936856508;1.984208465
Fiji;-0.079778723;-0.09139888;-0.432208866;-0.733542919;-0.910173655;-0.724238753;-0.706200659;-0.838006258;-0.843451798;-0.367771119;-0.291286618;-0.248813257;0.092309326;0.259536237
France;1.67152679;1.632802367;1.471042156;1.582908034;1.480974436;1.430300951;1.35914433;1.340279341;1.48182869;1.403170347;1.436796069;1.405252218;1.352089524;1.480525851
Micronesia, Fed. Sts.;-0.095632188;-0.300440341;-0.727532804;-0.725889981;-0.709225833;-0.802524447;-0.754988909;-0.643291771;-0.571090877;-0.497500807;-0.397008747;-0.334954023;0.089744702;-0.148862943
Gabon;-0.814778507;-0.78297013;-0.790611804;-0.818243444;-0.743608236;-0.772148669;-0.795038342;-0.904819489;-0.830842853;-0.644165218;-0.733602583;-0.792063236;-0.925253928;-0.812283397
United Kingdom;1.76659596;1.670994282;1.648174167;1.643774986;1.512003183;1.568379402;1.558900833;1.547542214;1.495450616;1.626729727;1.743744612;1.60161829;1.414132953;1.341883779
Georgia;-0.433997184;-0.244487524;0.110572636;0.296718448;0.287324846;0.309259713;0.553663909;0.60583812;0.58521229;0.489187151;0.404530019;0.518248141;0.581952572;0.614570916
Ghana;-0.187381759;0.160327539;0.128842697;0.032725435;-0.045350794;-0.037885677;-0.050453752;-0.048532676;-0.098373681;-0.280857623;-0.222162679;-0.168310955;-0.109187081;-0.21027039
