Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Lesotho;77.751;77.18;76.696;76.204;75.707;75.202;74.69;74.296;73.899;73.498;73.092;72.683;72.27;71.847
Late-demographic dividend;49.61493164;48.63171185;47.65278431;46.66641601;45.67961455;44.6926221;43.76208932;42.85521856;41.95729785;41.06277563;40.17187611;39.28516818;38.40687289;37.54771134
Lithuania;33.365;33.294;33.223;33.152;33.158;33.243;33.259;33.136;33.014;32.892;32.77;32.634;32.484;32.321
Luxembourg;13.402;12.991;12.591;12.2;11.822;11.453;11.094;10.751;10.426;10.116;9.821;9.54;9.273;9.019
Latvia;32;32.033;32.1;32.166;32.186;32.159;32.131;32.103;32.075;32.048;32.02;31.979;31.925;31.858
Macao SAR, China;0;0;0;0;0;0;0;0;0;0;0;0;0;0
St. Martin (French part);;;;;;;;;;;;;;
Morocco;44.826;44.254;43.683;43.114;42.548;41.982;41.419;40.858;40.3;39.744;39.191;38.64;38.092;37.547
Monaco;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Moldova;57.225;57.256;57.287;57.318;57.349;57.38;57.411;57.442;57.473;57.504;57.51;57.489;57.443;57.371
Madagascar;71.186;70.575;69.957;69.33;68.699;68.062;67.42;66.773;66.122;65.466;64.807;64.144;63.478;62.809
Maldives;66.25;65.206;64.8;64.39;63.979;63.566;63.151;62.733;62.315;61.894;61.471;61.046;60.62;60.192
Middle East & North Africa;39.47583981;39.03326659;38.60481845;38.1838258;37.76199118;37.34337916;36.9979983;36.65971095;36.32567743;35.99993051;35.62909919;35.28045233;34.94742029;34.62801404
Mexico;23.692;23.384;23.08;22.778;22.48;22.185;21.889;21.595;21.301;21.007;20.715;20.423;20.133;19.844
Marshall Islands;28.862;28.365;27.874;27.387;26.907;26.432;25.962;25.502;25.054;24.616;24.189;23.772;23.366;22.969
Middle income;55.59641725;54.97093579;54.3497463;53.72538979;53.09887489;52.46979128;51.86126439;51.25961651;50.6587336;50.05831193;49.46103587;48.86638528;48.27506893;47.69249912
North Macedonia;42.468;42.617;42.736;42.825;42.883;42.911;42.908;42.875;42.811;42.716;42.592;42.437;42.252;42.037
Mali;67.94;67.168;66.388;65.597;64.8;64.001;63.201;62.401;61.602;60.804;60.009;59.217;58.428;57.644
Malta;6.355;6.216;6.143;6.071;5.999;5.928;5.859;5.789;5.721;5.653;5.586;5.52;5.454;5.388
Myanmar;72.054;71.868;71.681;71.493;71.305;71.115;70.925;70.734;70.543;70.35;70.142;69.918;69.678;69.421
