Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Colombia;-0.623253524;-0.505183816;-0.435861588;-0.396766573;-0.388473421;-0.308589816;-0.255828619;-0.353872001;-0.405887574;-0.291901916;-0.268416584;-0.278797537;-0.3600142;-0.406334937
Comoros;-0.995350242;-0.953404725;-1.011351466;-1.032968283;-1.130064607;-1.046386242;-1.00294435;-1.015769243;-0.936803699;-0.891699731;-0.815206409;-0.998509288;-1.054813981;-1.080873251
Cape Verde;0.402133673;0.65333122;0.628360033;0.576220572;0.535593033;0.474659562;0.510734975;0.524149299;0.535970628;0.634805202;0.590744555;0.347443163;0.415123075;0.44500649
Costa Rica;0.558704138;0.466250151;0.381859928;0.460334957;0.563518703;0.523666799;0.451358467;0.519687355;0.551670015;0.560501158;0.504745185;0.466042668;0.454820812;0.480458319
Cuba;-1.08098197;-0.759093165;-0.684809148;-0.824909389;-0.708231091;-0.718004048;-0.690741539;-0.705526888;-0.697264194;-0.657768965;-0.701459408;-0.442362368;-0.431356758;-0.444418162
Cayman Islands;0.857202649;1.080183744;1.10512352;1.127510905;0.89725244;0.900772393;0.883740366;0.896737218;0.902007699;0.58729589;0.816869497;0.797436476;0.776547909;0.773854733
Cyprus;0.887087345;1.105020881;1.119864106;1.216479301;1.212835073;1.216248751;1.07300961;1.099629998;1.036581397;1.077018499;1.039910555;0.721343994;0.884949744;0.752880812
Czechia;0.867527783;0.87264353;0.905903339;0.914493978;0.962592542;0.949479163;1.036918283;1.041852593;1.039771318;1.15218091;1.148088455;1.035501719;1.116695046;1.048950672
Germany;1.663715005;1.783432961;1.772996068;1.745705962;1.655951381;1.631237388;1.616170526;1.664947629;1.649499655;1.856834173;1.794997096;1.622016311;1.608338714;1.629486918
Djibouti;-0.957037628;-0.87682575;-0.756274581;-0.644798994;-0.676523983;-0.729149699;-0.807053387;-0.791456461;-0.772086501;-0.8739326;-0.922179878;-0.975927353;-0.913365006;-0.922476113
Dominica;0.619343519;0.696042836;0.646536708;0.636563599;0.712046564;0.705635607;0.648809731;0.637001753;0.648914933;0.492903143;0.67346555;0.606373549;0.649089575;0.671661973
Denmark;1.948244095;1.997571826;2.013730049;1.966503382;1.924757004;1.897532105;1.922707915;1.873899817;1.900482297;2.096355438;2.042371035;1.912385345;1.863845944;1.832332611
Dominican Republic;-0.670407236;-0.575809121;-0.613635421;-0.660289288;-0.772622108;-0.808333457;-0.773406386;-0.687770724;-0.532390594;-0.405669421;-0.512687922;-0.395149499;-0.417976052;-0.379210949
Algeria;-0.75083214;-0.708591282;-0.772745669;-0.741468847;-0.793536186;-0.784947515;-0.807665765;-0.77228111;-0.689373612;-0.773167908;-0.86394465;-0.857400954;-0.863938332;-0.775235474
Ecuador;-0.793714285;-1.033067226;-1.035035491;-1.167480707;-1.251498699;-1.204075575;-1.205297947;-1.134687901;-0.968271494;-1.058417678;-1.028903484;-0.761253357;-0.701417387;-0.638875186
Egypt, Arab Rep.;-0.024182694;-0.257810205;-0.229975536;-0.129250243;-0.10517665;-0.179419875;-0.452046961;-0.472383499;-0.633282006;-0.662516296;-0.601282537;-0.517300606;-0.542537749;-0.412393242
Eritrea;-1.041639328;-1.188964725;-1.277803183;-1.302218199;-1.310355663;-1.348670125;-1.350913644;-1.387417197;-1.407486081;-1.530384064;-1.487500548;-1.625062227;-1.564381361;-1.58600831
Spain;1.127902031;1.131011367;1.168316364;1.193508863;1.162589192;1.188944459;1.198051929;1.064827085;1.0205158;0.952644229;0.901592016;0.978824794;1.008470416;0.968262732
Estonia;0.969764113;1.140900135;1.173004985;1.19912076;1.131253362;1.159708977;1.183797717;1.157106638;1.198479652;1.372891307;1.331910014;1.226358056;1.281881213;1.239835262
Ethiopia;-0.936121404;-0.659836471;-0.64883393;-0.697095335;-0.827087522;-0.801650465;-0.739557683;-0.677484751;-0.647413611;-0.471563309;-0.509027123;-0.49234876;-0.45365274;-0.428364456
Finland;1.963108897;1.973504543;1.914935946;1.922676086;1.970258117;1.968725324;1.949498773;1.951503277;1.936688185;2.100273371;2.063105345;2.015213728;2.027072906;2.045141697
Fiji;-0.046610039;-0.064472169;-0.600928247;-0.561472178;-0.771072328;-0.848421395;-0.824531317;-0.79121691;-0.822952628;-0.511486351;-0.404102802;-0.27447015;-0.245653555;-0.128862485
France;1.418815017;1.474471927;1.472338557;1.507124543;1.452676177;1.519731045;1.446996093;1.454164147;1.426772714;1.474639177;1.413305163;1.413081884;1.438317537;1.439210296
Micronesia, Fed. Sts.;0.663498104;0.684762001;0.616916895;0.341098011;0.041140992;-0.101545855;-0.061299372;-0.015528588;0.065360323;-0.280935526;-0.295544416;-0.050772779;0.005636695;-0.018862637
Gabon;-0.449916154;-0.737107694;-0.701925457;-0.626971066;-0.545626462;-0.517358303;-0.461302876;-0.469428033;-0.539848983;-0.508886874;-0.549937129;-0.60455215;-0.682429969;-0.706142068
