Country Name;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Indonesia;1220;1380;1600;1940;2150;2530;3010;3580;3730;3620;3430;3400;3530;3850
IDA only;471.8924789;513.6969723;577.3932847;670.8457869;738.6308642;800.149761;850.556517;918.5508252;983.7902592;1028.991782;1046.289491;1057.292922;1081.349463;1147.7331
Isle of Man;39590;44420;47210;64640;66890;67430;70480;81160;87860;88990;83980;75570;75340;
India;710;790;910;1000;1120;1220;1360;1480;1520;1560;1600;1680;1830;2010
Not classified;;;;;;;;;;;;;;
Ireland;44530;47910;50530;50920;46810;44880;41900;40590;43480;46320;50350;52490;53480;59640
Iran;2520;2960;3480;4270;4970;5560;6250;6870;7130;6990;6500;5370;5500;5420
Iraq;;1900;2430;3540;4160;4580;4960;6310;7050;6830;5930;5620;4880;5060
Iceland;50700;53610;61930;50100;41850;36250;37590;40680;46960;48230;50160;55150;60530;67890
Israel;21410;22300;23950;26120;27260;29660;31500;32220;34310;35960;36030;36360;37420;40930
Italy;32430;34250;35900;37910;37870;37850;37900;36200;35550;34890;32980;31950;31360;33770
Jamaica;3780;4070;4310;4560;4320;4380;4590;4980;5010;4920;4710;4600;4740;4970
Jordan;2350;2530;2770;3120;3380;3480;3570;3690;3800;3870;3900;3930;4020;4200
Japan;40560;39930;38740;38850;38800;43440;46880;49480;48280;43950;38840;37860;38490;41150
Kazakhstan;2930;3860;4980;6150;6790;7440;8280;9940;11840;12080;11380;8770;8040;8070
Kenya;510;580;700;820;900;960;990;1050;1130;1240;1290;1350;1420;1600
Kyrgyz Republic;450;500;610;760;860;850;880;1040;1190;1250;1180;1110;1110;1220
Cambodia;460;520;590;670;700;750;810;880;970;1020;1060;1140;1230;1380
Kiribati;1700;1710;1820;1930;1900;2050;2090;2620;2980;3220;3470;2920;3020;3080
St. Kitts and Nevis;12210;12670;13200;14850;14620;14690;15440;15470;16610;16490;16410;17080;17220;18340
Korea;16200;18520;20800;23440;23860;22040;22290;23590;25660;26980;28160;28720;29330;30300
Kuwait;34560;41480;47580;51710;45300;42160;43840;50660;53060;50750;42530;36880;31660;34290
Latin America & Caribbean (excluding high income);4401.642762;5083.340266;5946.589565;6870.321625;7045.135467;7832.403064;8636.340133;9513.95764;9892.778771;9782.522882;8941.417439;8201.942134;8060.883961;8312.953998
Lao PDR;460;510;620;750;890;1000;1140;1370;1610;1820;1970;2120;2240;2450
Lebanon;4890;4860;5410;6060;6870;7470;7560;7560;7640;7550;7280;7230;7470;7720
Liberia;250;290;330;390;430;460;520;560;630;630;630;620;620;610
Libya;6860;8600;10400;12200;12090;12380;4690;11550;10750;7610;5690;4550;5410;6800
St. Lucia;6230;7260;7500;8090;8020;8170;8820;8860;8790;8840;8730;9440;10070;10640
Latin America & Caribbean;4580.041202;5273.969093;6152.725228;7091.580121;7258.977588;8043.156065;8870.130773;9784.196522;10190.31372;10083.66379;9270.747378;8543.275565;8414.270222;8708.989928
Least developed countries: UN classification;435.8208206;483.1227843;554.7178708;646.760832;713.2990466;773.1586278;822.7941643;900.7857442;966.9711144;1011.899365;1007.815574;995.3374792;1001.440648;1046.813988
Low income;386.6164449;430.0229843;498.5950957;582.1633539;646.173596;693.893128;713.6125089;756.6014996;802.0738722;841.0604841;830.3008093;809.8347101;785.8965252;779.8164761
Liechtenstein;92730;104070;112190;121890;116430;;;;;;;;;
Sri Lanka;1210;1360;1550;1790;2010;2410;2850;3360;3490;3640;3760;3810;3870;4040
Lower middle income;832.2009718;938.051383;1084.10224;1234.581059;1334.245433;1446.870461;1572.896132;1733.114535;1841.213437;1913.885038;1920.985088;1932.204772;1971.930225;2097.631374
Low & middle income;1709.143907;1980.486469;2341.168128;2754.88918;2965.375936;3312.813037;3682.434277;4169.979168;4509.463491;4663.065622;4546.588092;4455.438078;4530.660782;4848.685791
Lesotho;1020;1130;1300;1310;1230;1300;1440;1610;1560;1450;1340;1300;1240;1280
Late-demographic dividend;2689.805177;3188.609296;3878.803461;4701.445993;5132.570024;5771.656718;6501.21695;7473.533048;8274.285898;8682.754948;8515.828676;8359.938564;8562.644983;9351.614813
Lithuania;7600;8820;10620;12660;12430;12560;13290;14070;15310;16040;15170;14870;15260;17380
Luxembourg;73810;71580;86210;88000;71220;78220;76260;75450;75500;76470;72470;68670;66430;70910
Latvia;7350;8880;11160;13440;14040;12580;13150;13850;14930;15300;15010;14600;14720;16520
Macao SAR;22250;24020;26320;34580;34360;36530;45580;54870;61240;70560;74210;64350;65980;72310
St. Martin (French part);;;;;;;;;;;;;;
Morocco;2070;2240;2380;2700;2880;2930;3000;2980;3090;3060;3020;2880;2880;3090
Monaco;;;;;;;;;;;;;;
Moldova;1120;1280;1440;1870;1960;2380;2730;3140;3620;3740;3300;3180;3330;3930
Madagascar;340;330;380;450;470;470;480;500;520;520;490;470;470;510
