Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Cameroon;-1.181337476;-1.086014271;-1.020625114;-1.022167325;-1.003625989;-1.06104672;-1.145448804;-1.261324883;-1.20525074;-1.164003968;-1.074493289;-1.154441953;-1.200419903;-1.151188374
Congo, Rep.;-1.044834137;-1.102209926;-1.146641016;-1.175675154;-1.195679665;-1.146634579;-1.11917007;-1.211273074;-1.153926611;-1.178786755;-1.196038723;-1.18697834;-1.330627084;-1.358974218
Cook Islands;0.569078982;0.603425086;1.047706723;;-0.579231977;-0.249484926;-0.231875256;-0.218766674;-0.21867314;;;;;
Colombia;-0.132257313;-0.122551039;-0.215963468;-0.237616792;-0.30945304;-0.385390997;-0.288793713;-0.38745138;-0.405205011;-0.368626416;-0.29817459;-0.324251652;-0.37002635;-0.287409842
Comoros;-0.884874165;-0.696617961;-0.706744611;-0.790294528;-0.828633726;-0.80691576;-0.79062438;-0.7833758;-0.739959955;-0.612202406;-0.719113648;-0.665868163;-0.684965193;-0.816506922
Cape Verde;0.557009697;0.81033951;0.889813185;0.867661119;0.867434919;0.856144667;0.9037503;0.868030965;0.836728513;0.938025832;0.95017606;0.868905604;0.834023416;0.767450929
Costa Rica;0.483340979;0.444858938;0.516526341;0.551820815;0.752068281;0.7081604;0.648954153;0.618261576;0.625901282;0.755439758;0.748427451;0.744237781;0.466644734;0.551431715
Cuba;0.275198817;0.258399189;0.306802601;0.270317644;0.279622048;0.31281653;0.272348613;0.235272825;0.120164976;0.068400934;0.070484519;0.169138715;0.265628695;0.165453136
Cayman Islands;1.278152943;1.25953114;1.269964576;0.806962311;1.11636126;1.127208591;1.351357579;1.354136109;1.359179378;1.018918037;1.019122243;0.528993011;0.526848435;0.496425956
Cyprus;0.906868696;1.093416214;1.080966115;1.204644084;0.912045002;0.974873543;0.866362035;1.251133919;1.245758176;1.075781465;1.007443786;0.826646328;0.782737195;0.640067935
