Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Honduras;7458985;7634298;7808518;7980955;8150775;8317470;8480671;8640691;8798521;8955589;9112916;9270795;9429013;9587522
Heavily indebted poor countries (HIPC);543555326;558909236;574560260;590590368;607115564;624219326;641921311;660193774;679012664;698336451;718128416;738387254;759106221;780234406
Croatia;4310145;4311159;4310217;4309705;4305181;4295427;4280622;4267558;4255689;4238389;4203604;4174349;4124531;4087843
Haiti;9195288;9344785;9495328;9646580;9798046;9949322;10100320;10250930;10400673;10549008;10695542;10839970;10982366;11123176
Hungary;10087065;10071370;10055780;10038188;10022650;10000023;9971727;9920362;9893082;9866468;9843028;9814023;9787966;9775564
IBRD only;4210325712;4253873152;4296873746;4340024690;4383703296;4427061912;4471056276;4515492025;4560256590;4604835324;4648915927;4692789458;4736161411;4777244901
IDA & IBRD total;5425296741;5497791209;5570347419;5643601090;5717826463;5792408554;5867932480;5943961722;6020879645;6098336986;6176134815;6254594188;6333378175;6410726416
IDA total;1214971029;1243918057;1273473673;1303576400;1334123167;1365346642;1396876204;1428469697;1460623055;1493501662;1527218888;1561804730;1597216764;1633481515
IDA blend;404615758;414232526;424192635;434469613;444998521;456049562;467268096;478336539;489626543;501147849;512877243;524790731;536862922;549115214
Indonesia;226289470;229318262;232374245;235469762;238620563;241834215;245116206;248452413;251806402;255129004;258383256;261554226;264645886;267663435
IDA only;810355271;829685531;849281038;869106787;889124646;909297080;929608108;950133158;970996512;992353813;1014341645;1037013999;1060353842;1084366301
Isle of Man;80305;81285;82408;83508;84376;84857;84886;84533;83976;83488;83234;83287;83598;84077
India;1147609927;1165486291;1183209472;1200669765;1217726215;1234281170;1250288729;1265782790;1280846129;1295604184;1310152403;1324509589;1338658835;1352617328
Not classified;;;;;;;;;;;;;;
Ireland;4159914;4273591;4398942;4489544;4535375;4560155;4580084;4599533;4623816;4657740;4701957;4755335;4807388;4867316
Iran, Islamic Rep.;69762347;70554760;71336475;72120604;72924837;73762519;74634956;75539862;76481943;77465753;78492215;79564016;80673951;81800269
Iraq;26922284;27448124;27911248;28385746;28973162;29741976;30725300;31890011;33157050;34411951;35572261;36610632;37552781;38433600
Iceland;296734;303782;311566;317414;318499;318041;319014;320716;323764;327386;330815;335439;343400;352721
Israel;6930100;7053700;7180100;7308800;7485600;7623600;7765800;7910500;8059500;8215700;8380100;8546000;8713300;8882800
Italy;57969484;58143979;58438310;58826731;59095365;59277417;59379449;59539717;60233948;60789140;60730582;60627498;60536709;60421760
Jamaica;2740003;2754407;2768227;2781876;2795837;2810460;2825929;2842132;2858709;2875136;2891021;2906238;2920853;2934855
Jordan;5765635;5991540;6255280;6556478;6893260;7261539;7663131;8090872;8520420;8920049;9266575;9551467;9779173;9956011
Japan;127773000;127854000;128001000;128063000;128047000;128070000;127833000;127629000;127445000;127276000;127141000;126994511;126785797;126529100
Kazakhstan;15147029;15308084;15484192;15674000;16092822;16321872;16557201;16792089;17035550;17288285;17542806;17794055;18037776;18276498.5
Kenya;36624895;37649033;38705932;39791981;40901792;42030676;43178257;44343410;45519889;46699981;47878336;49051686;50221473;51393010
Kyrgyz Republic;5162600;5218400;5268400;5318700;5383300;5447900;5514600;5607200;5719600;5835500;5956900;6079500;6198200;6322800
Cambodia;13273354;13477709;13679962;13883834;14093604;14312212;14541423;14780454;15026332;15274503;15521436;15766293;16009414;16249798
Kiribati;92325;94343;96527;98761;100930;102927;104728;106370;107890;109391;110930;112524;114158;115847
St. Kitts and Nevis;46857;47339;47778;48185;48599;49016;49447;49887;50331;50774;51203;51625;52045;52441
Korea, Rep.;48184561;48438292;48683638;49054708;49307835;49554112;49936638;50199853;50428893;50746659;51014947;51217803;51361911;51606633
Kuwait;2270198;2373672;2504019;2656009;2821045;2991884;3168060;3348853;3526376;3690941;3835591;3956875;4056099;4137312
Latin America & Caribbean (excluding high income);527308231;533896503;540405229;546848933;553244956;559496784;565882120;572224389;578502021;584679495;590731810;596643917;602426586;608113077
Lao PDR;5751676;5846074;5944948;6046620;6148623;6249165;6347567;6444530;6541304;6639756;6741164;6845846;6953035;7061507
Lebanon;4698763;4759753;4767344;4764741;4813026;4953061;5202343;5538634;5914621;6262410;6532678;6711121;6811873;6848925
Liberia;3218116;3329211;3461911;3607860;3754133;3891356;4017443;4135659;4248334;4359505;4472230;4586788;4702228;4818977
Libya;5798614;5886872;5974787;6058748;6133984;6197663;6247439;6285750;6320359;6362037;6418315;6492164;6580724;6678567
St. Lucia;163417;165381;167639;170011;172221;174085;175544;176646;177513;178296;179126;180024;180955;181889
Latin America & Caribbean;556504290;563337678;570091464;576783755;583430029;589932565;596538911;603097381;609600087;616002686;622301089;628484873;634545282;640454810
Least developed countries: UN classification;744190510;762132501;780219542;798563392;817322629;836614860;856472234;876869863;897797478;919226401;941131317;963511276;986365080;1009662578
Low income;462679645;475927007;489505419;503324676;517267751;531260028;545266258;559335524;573583598;588174709;603234541;618780841;634796692;651327587
Liechtenstein;34713;34970;35217;35471;35727;35994;36293;36615;36934;37223;37470;37658;37800;37910
Sri Lanka;19544988;19695972;19842044;19983984;20123508;20261737;20398670;20425000;20585000;20778000;20970000;21203000;21444000;21670000
Lower middle income;2349947388;2389129523;2428529757;2468136919;2507929642;2548154994;2588455505;2628465458;2668772179;2709173405;2749824313;2790617792;2831466703;2872397765
