"Bacteria","Country","Region","Code","Year","R_multi","DDD_sys_commun","per_cap_US","GDP_total","GDP_health","Out_pocket_exp","income_pc","rural_pop","HDR","ctrl_corrup","GOV_effect","rule_law","total_pop"
"Escherichia coli","Netherlands","Western","NL",2008,0.015294647,10.0085,5361,57644.47997,9.28,9.923715144,52670,14.598,0.906,2.11823535,1.696206212,1.761363387,16445593
"Escherichia coli","Norway","Northern","NO",2008,0.008408072,15.2127,7768,96944.09561,7.96,15.65692127,87520,21.474,0.938,1.906426668,1.842090368,1.970246673,4768212
"Escherichia coli","Poland","Eastern","PL",2008,0.011904762,17.414,892.6,14001.38156,6.37,24.43300337,11970,38.884,0.824,0.461351156,0.473243326,0.546503127,38125759
"Escherichia coli","Portugal","Southern","PT",2008,0.064308682,18.99,2322,24847.54514,9.35,25.81731975,22590,40.641,0.814,1.070165277,1.085485101,1.020403624,10558177
"Escherichia coli","Romania","Eastern","RO",2008,0.1875,25.6692926370493,521.3,10435.04398,5.02,18.182154,8800,46.433,0.795,-0.14283666,-0.324172407,-0.013610071,20537875
"Escherichia coli","Sweden","Northern","SE",2008,0.006709533,14.2216,4653,56152.55234,8.3,16.92032367,55480,15.254,0.901,2.227349281,1.956433296,1.931482196,9219637
"Escherichia coli","Slovenia","Southern","SI",2008,0.022883295,12.6229,2171,27483.33695,7.85,12.63994575,24620,47.791,0.878,0.981918633,1.187827349,1.00898242,2021316
"Escherichia coli","United Kingdom","Northern","UK",2008,0.033947065,14.9073,3606,47286.99849,7.65,9.436758608,48580,19.243,0.896,1.682486892,1.643774986,1.708198905,61806995
"Escherichia coli","Austria","Western","AT",2009,0.020545239,13.6297,4909,47963.1794,10.23,18.05128604,49000,42.317,0.886,1.703024626,1.666579604,1.784890175,8343323
"Escherichia coli","Belgium","Western","BE",2009,0.016170213,22.1649,4567,44583.54481,10.14,18.16453636,46840,2.397,0.899,1.460205913,1.571341515,1.384072661,10796493
"Escherichia coli","Bulgaria","Eastern","BG",2009,0.068421053,15.9105,459.3,6984.965976,6.61,44.36734319,6670,28.037,0.774,-0.212567106,0.166158289,-0.038340408,7444443
"Escherichia coli","Cyprus","Southern","CY",2009,0.051470588,29.1558,2105,32109.24251,6.47,49.9238044,32780,32.305,0.854,0.912045002,1.41832912,1.212835073,1098083
"Escherichia coli","Czechia","Eastern","CZ",2009,0.024470416,16.6193,1442,19741.59763,7.29,15.05053937,18690,26.676,0.857,0.386209816,0.883240402,0.962592542,10443936
"Escherichia coli","Germany","Western","DE",2009,0.032058288,13.7802,4643,41485.90165,11.14,13.91829103,43520,23.229,0.916,1.755257964,1.578987122,1.655951381,81902307
"Escherichia coli","Denmark","Northern","DK",2009,0.014426727,15.0173,6222,58163.27688,10.67,13.68460506,60090,13.346,0.906,2.446495295,2.232205391,1.924757004,5523095
"Escherichia coli","Estonia","Northern","EE",2009,0.006644518,9.7171,963,14794.97079,6.54,20.33495456,14620,31.777,0.838,1.007584095,1.009114146,1.131253362,1334515
"Escherichia coli","Greece","Southern","EL",2009,0.064301552,34.5956,2816,29710.9703,9.47,29.30950224,29330,24.068,0.859,0.067469649,0.61948657,0.652814925,11107017
"Escherichia coli","Spain","Southern","ES",2009,0.043866562,15.6735,2913,32042.47408,8.98,19.5030123,32460,21.79,0.858,1.062199712,0.945832193,1.162589192,46362946
"Escherichia coli","Finland","Northern","FI",2009,0.014616935,16.5638,4180,47293.99283,8.88,19.38837022,48800,16.571,0.899,2.251192331,2.229058743,1.970258117,5338871
"Escherichia coli","France","Western","FR",2009,0.029700599,24.4043,4724,41575.41875,11.3,10.14965624,43930,21.883,0.869,1.438242078,1.480974436,1.452676177,64707040
"Escherichia coli","Hungary","Eastern","HU",2009,0.098265896,13.8559,943.7,13046.48101,7.25,26.26888156,13380,31.54,0.823,0.433832288,0.67319572,0.796490192,10022650
"Escherichia coli","Ireland","Northern","IE",2009,0.023279352,17.7884,5481,52105.15248,10.49,12.70052791,46810,38.658,0.896,1.759451747,1.336170197,1.750501871,4535375
"Escherichia coli","Iceland","Northern","IS",2009,0,17.1614,3693,41333.41853,8.87,16.6221723,41850,6.489,0.891,2.04151988,1.635218859,1.714270711,318499
"Escherichia coli","Italy","Southern","IT",2009,0.063356164,23.7273,3324,37079.75867,8.98,20.66364437,37870,31.791,0.868,0.199060738,0.421652019,0.404739648,59095365
"Escherichia coli","Lithuania","Northern","LT",2009,0.037800687,16.1981,864.7,11837.39103,7.36,26.81708038,12430,33.158,0.821,0.231553197,0.693558395,0.728031814,3162916
"Escherichia coli","Luxembourg","Western","LU",2009,0.043189369,23.7525,7640,103198.6693,7.34,9.895283729,71220,11.822,0.885,1.973333359,1.747320056,1.827186227,497783
"Escherichia coli","Latvia","Northern","LV",2009,0.058823529,9.3298,744.7,12257.21657,6.15,38.78267705,14040,32.186,0.819,0.226274058,0.623809874,0.814353228,2141669
